fid,longitude,latitude,BD,CEC,Fragm,Sand,Silt,Clay,N,OCD,pH,SOC
88,-79.2199,-7.9658,1.3756,13.3464,17.8468,78.3481,13.9499,7.7976,3.2178,14.7607,7.4757,19.4377
89,-79.1811,-7.9077,1.4113,13.4776,13.0581,82.1147,10.6984,7.1963,2.0175,13.2375,7.7000,10.7258
90,-79.1632,-7.8060,1.4414,15.4144,16.4807,74.7628,13.1492,12.0911,1.3477,12.7632,8.0000,11.6786
91,-79.1993,-7.8685,1.3800,14.5279,16.9864,79.2104,13.2564,7.5333,5.2027,16.0667,7.6727,15.2037
92,-79.2359,-7.9421,1.3584,13.9063,15.4767,78.1086,13.7012,8.1902,3.8735,16.3580,7.3185,15.1639
93,-79.2217,-7.9479,1.4000,12.4269,17.2454,79.8669,11.7144,8.4182,3.5976,13.7692,7.7052,12.2181
94,-79.1727,-7.8376,1.4094,13.4285,15.1847,70.7205,16.0110,13.2684,2.0030,11.8617,7.8720,9.8486
95,-79.1445,-7.8184,1.3845,16.5742,14.7688,80.5361,11.5363,7.9824,0.9529,11.8094,7.8000,8.7041
96,-79.1897,-7.8698,1.3855,14.5456,17.7898,80.4609,11.4853,8.0538,5.0081,15.8303,7.8000,11.3372
97,-79.2679,-7.9525,1.2667,14.6862,19.4480,79.0061,13.7100,7.2839,3.0496,15.8172,7.7839,24.6633
98,-79.2062,-7.9496,1.3888,12.1137,22.2184,78.9812,13.1541,7.8769,3.5538,15.3335,7.7000,15.7497
99,-79.2336,-7.9205,1.3409,12.6818,15.4590,77.7220,13.8149,8.4299,4.2176,16.0433,7.2000,15.1850
