zone,n,BD_mean,BD_sd,BD_median,CEC_mean,CEC_sd,CEC_median,Fragm_mean,Fragm_sd,Fragm_median,Sand_mean,Sand_sd,Sand_median,Silt_mean,Silt_sd,Silt_median,Clay_mean,Clay_sd,Clay_median,N_mean,N_sd,N_median,OCD_mean,OCD_sd,OCD_median,pH_mean,pH_sd,pH_median,SOC_mean,SOC_sd,SOC_median
Zone 2,40,1.38009,0.04101132926649815,1.3854000000000002,13.8881,1.6277185024066423,13.7752,16.695149999999998,2.479876357029488,16.68905,77.8318075,3.1575717256719327,78.4733,13.39989,2.1630773256683438,13.17705,8.7833275,1.4946805601588142,8.42735,2.8498775,1.303653229510863,3.2954499999999998,13.9354575,1.8620227385605865,13.7797,7.669125,0.20950849777759764,7.7,13.80678,4.890697356504804,13.12765
Zone 7,59,1.3753406779661017,0.03785439034640439,1.3854,13.811125423728814,1.0634484074824566,13.689,16.52918813559322,1.658035604010708,16.5178,78.87060169491525,2.159754868792506,79.1625,12.749745762711864,1.5913816457798045,12.7141,8.374616949152543,1.2664859647931825,8.0828,3.2643050847457626,1.1565490589090266,3.5143,14.234940677966101,2.013482949425477,14.0162,7.658864406779661,0.20804754907664066,7.7081,13.725262711864406,3.961428726543262,13.4417
